№;НАЗВАНИЕ;РУБРИКА;ПОДРУБРИКА;РЕГИОН;ГОРОД;АДРЕС;ТЕЛЕФОН;ТЕЛЕФОН;ТЕЛЕФОН;СОТОВЫЙ;EMAIL;САЙТ;X;Y
1049977827;PapaPrint;Услуги;Аутсорсинг;Московская область;Москва;Озерная улица 46;+7(495)7812010;;;;;http://papaprint.ru;55.665919;37.439948;
1235973960;МосБизнесГрупп;Услуги;Аутсорсинг;Московская область;Москва;площадь Джавахарлала Неру 1;+7(495)2272726;;;;;http://mbg-group.ru;55.693292;37.533975;
1215279878;МосБизнесГрупп;Услуги;Аутсорсинг;Московская область;Москва;улица Маршала Савицкого 18;+7(495)2272726;;;+79852272726;;http://mbg-group.ru;55.504506;37.588799;
1182081293;МосБизнесГрупп;Услуги;Аутсорсинг;Московская область;Москва;улица Кржижановского 20/30, корп.1;+7(495)2272726;;;+79852272726;info@mbg-group.ru;http://mbg-group.ru;55.679052;37.572279;
1198800205;МосБизнесГрупп;Услуги;Аутсорсинг;Московская область;Москва;Малая Юшуньская улица 1в, стр. 2, вл. 1в;+7(495)2272726;;;+79852272726;info@mbg-group.ru;http://mbg-group.ru;55.653137;37.597572;
1205154225;ГК Триада;Услуги;Аутсорсинг;Московская область;Москва;Нахимовский проспект 52/27;+7(495)3696272;;;+79263666683;info@triada-personal.ru;http://triada-personal.ru;55.681301;37.558014;
1253876139;Трезвый водитель;Услуги;Аутсорсинг;Московская область;Москва;проспект Вернадского 14, оф. 32;;;;+79858881862;9266619614@mail.ru;;55.67693;37.504798;
1122231255;Юридическая компания Империя Бизнеса;Услуги;Аутсорсинг;Московская область;Москва;Малая Юшуньская улица 1, корп.1;+7(495)7747137;;;;info@imperbiz.ru;http://imperbiz.ru;55.653223;37.594504;
1130929717;Компьютерный консалтинг;Услуги;Аутсорсинг;Московская область;Москва;Академика Варги улица 28;;;;+79852267982;info@netcons.ru;http://netcons.ru;55.632753;37.474004;
1077018586;Открытая линия;Услуги;Аутсорсинг;Московская область;Одинцово;Молодежная улица 46, оф. 422;+7(495)5005544;;;;info@olinecontact.ru;http://olinecontact.ru;55.677194;37.271101;
1156627127;Своя Бухгалтерия;Услуги;Аутсорсинг;Московская область;Москва;улица Грина 13;+7(968)3575735;;;+79160383597;hello@SVBuh.com;http://svbuh.com;55.567413;37.56509;
1186764513;Global Staff Resource;Услуги;Аутсорсинг;Московская область;Подольск;Комсомольская улица 1, эт. 8, оф. 806;+7(495)2321424;;;;info@global-staff.ru;http://gsr-rabota.ru;55.427877;37.549723;
1159471550;ЦТП;Услуги;Аутсорсинг;Московская область;Москва;Лужнецкая набережная 2/4;+7(499)9951065;;;;info@ctp.aero;http://ctp.aero;55.713339;37.570177;
1065162333;МРТР;Услуги;Аутсорсинг;Московская область;Москва;улица Обручева 13, корп.1;+7(499)7397176;;;;;;55.660318;37.516772;
